Tag;Fälle
10;23
11;16
12;23
13;17
14;14
15;45
16;11
17;24
18;19
19;31
20;9
21;16
22;24
23;15
24;11
25;22
26;35
27;17
28;10
29;30
30;34
31;35
32;9
33;66
34;34
35;21
36;24
37;25
38;53
39;6
40;35
41;23
42;20
43;51
44;39
45;50
46;30
47;48
48;26
49;33
50;36
51;37
52;62
53;41
54;66
55;34
56;31
57;38
58;80
59;19
60;83
61;72
62;26
63;41
64;48
65;22
66;97
67;60
68;42
69;61
70;33
71;81
72;72
73;79
74;78
75;162
76;68
77;72
78;144
79;76
80;178
81;173
82;145
83;101
84;95
85;128
86;128
87;127
88;68
89;208
90;98
91;112
92;82
93;136
94;206
95;197
96;209
97;62
98;206
99;218
100;270
101;381
102;280
103;443
104;153
105;180
